F1,F2,F3,H1O1,H2O1,H2O2,H3O2,O1,grp_>C16,grp_C1-3,grp_C4-7,grp_C8-15
0,200,0,0,0,0,0,0,0,0,0,200
0,200,0,0,0,0,0,0,0,0,0,200
0,200,0,0,0,0,0,0,0,0,0,200
2,199,0,0,0,0,0,0,0,0,0,200
6,197,0,0,0,0,0,0,0,0,0,200
9,195,0,0,0,0,0,0,0,0,0,200
18,189,1,0,0,0,0,0,0,0,0,200
36,176,2,0,0,0,0,0,0,0,0,200
47,167,4,0,0,0,0,0,0,0,0,200
44,173,1,0,0,0,0,0,0,0,0,200
61,166,0,0,0,0,0,0,0,0,0,200
63,160,3,1,1,0,0,0,0,0,0,200
72,158,1,2,2,0,0,0,0,0,0,200
87,148,2,2,2,0,0,0,0,0,0,200
91,143,4,3,2,0,0,0,0,0,0,200
103,138,3,3,2,0,0,0,0,0,0,200
112,136,1,3,2,0,0,0,0,0,1,200
112,134,2,2,3,0,0,0,0,0,0,200
112,135,1,2,3,0,0,0,0,0,0,200
122,128,2,2,3,0,0,0,0,1,0,200
143,119,1,1,4,0,0,0,0,1,0,200
141,119,1,3,4,0,0,0,0,1,0,200
137,122,0,4,4,0,0,0,0,1,0,200
144,115,2,3,5,0,0,0,0,1,1,200
137,119,1,3,5,0,0,0,0,2,3,199
147,114,1,3,5,0,0,0,1,2,2,197
149,113,1,4,5,0,0,0,1,2,2,197
150,112,1,5,5,0,0,0,0,3,2,199
140,114,2,6,6,0,0,0,0,4,3,199
146,111,2,6,6,0,0,0,0,8,4,198
152,110,0,8,6,0,0,0,0,9,4,198
142,111,2,8,6,0,0,0,0,10,4,198
147,108,2,8,6,0,0,0,0,14,4,197
154,107,1,7,7,0,0,0,0,15,4,197
149,107,2,7,8,0,0,0,1,18,3,195
156,104,1,7,8,0,0,0,1,18,3,195
156,101,2,8,8,0,0,0,0,18,3,197
162,99,2,8,7,0,0,0,0,20,5,196
157,99,3,8,7,0,0,0,0,23,4,196
168,95,3,7,7,0,0,0,1,26,4,195
166,99,1,5,9,0,0,0,0,29,5,196
174,96,2,6,9,0,0,0,0,32,6,195
177,96,0,3,11,1,0,0,0,36,5,195
175,94,1,3,11,1,0,0,1,38,5,194
171,92,3,3,11,1,0,0,1,37,5,194
170,94,3,3,11,1,0,0,1,39,6,193
173,94,2,3,11,1,0,0,1,40,6,193
175,95,1,3,11,1,0,0,0,42,6,194
176,92,2,3,11,1,0,0,2,43,5,191
186,87,2,3,10,1,0,0,1,43,5,193
180,90,2,3,10,1,0,0,0,45,5,194
176,94,0,2,12,1,0,0,1,45,5,193
186,87,2,2,12,1,0,1,2,44,5,191
183,88,2,2,10,1,0,1,2,44,5,191
195,87,0,2,13,1,0,1,1,46,5,193
188,89,1,2,12,1,0,1,3,45,5,190
192,88,0,1,13,1,0,1,3,46,5,190
189,87,1,1,14,1,0,1,3,46,5,190
193,83,2,3,11,0,0,1,3,48,6,189
191,85,2,3,12,0,0,1,4,52,5,186
192,84,2,3,13,0,0,1,3,52,5,188
192,82,2,3,14,0,0,1,5,52,6,183
194,84,1,3,12,0,0,1,2,53,6,188
193,82,1,4,13,0,0,0,4,52,6,185
196,84,1,3,14,0,0,0,5,53,7,183
196,82,2,3,14,0,0,0,5,53,7,183
200,81,1,3,13,0,0,0,7,53,6,179
192,81,2,3,15,0,0,0,5,53,6,184
195,82,0,2,12,0,1,0,6,54,6,181
200,76,2,2,14,0,1,0,6,53,6,182
196,81,0,2,13,0,1,0,6,53,6,182
199,76,2,2,11,0,0,0,3,54,6,187
202,77,1,2,12,0,1,0,3,54,6,187
195,80,1,2,13,0,1,0,5,53,6,184
200,78,2,1,14,0,1,0,4,53,6,186
196,79,0,1,14,0,1,0,5,53,6,184
202,75,2,1,13,0,1,0,4,53,6,186
196,76,1,1,14,0,1,1,5,54,6,183
197,75,2,2,14,0,1,0,4,54,6,185
195,73,2,2,10,0,1,0,6,53,6,181
200,72,2,2,14,0,1,0,3,55,6,188
197,75,0,2,15,0,1,0,4,56,6,185
198,73,1,1,14,0,1,0,6,54,6,182
199,71,2,2,11,0,1,0,6,54,6,181
198,72,2,2,13,0,1,0,8,54,6,177
201,72,1,2,13,0,1,0,7,53,7,180
201,73,1,2,13,0,1,0,8,53,7,178
202,70,2,2,14,0,1,0,8,54,7,179
198,71,2,2,12,0,1,0,8,55,7,178
199,71,2,2,12,0,1,0,7,55,7,179
198,70,2,2,13,0,1,0,8,55,7,176
205,69,1,2,13,0,1,0,9,54,8,176
201,69,1,2,14,0,1,0,9,54,8,175
202,69,1,2,13,0,0,0,9,55,8,175
204,66,2,1,14,0,1,0,11,54,7,174
206,66,1,1,16,0,1,0,10,54,7,175
204,65,2,1,12,0,1,0,9,54,7,178
204,64,2,3,13,0,1,0,9,55,7,177
206,64,2,3,15,0,1,0,10,55,6,175
205,64,2,2,13,0,1,0,11,54,6,174
202,64,2,2,11,0,1,0,10,54,6,176
