Frame,H-H,N-H,N-N,O-H,O-N,O-O
1,0,772,430,92,849,3
2,0,659,407,204,814,3
3,0,652,397,211,816,3
4,0,635,391,227,809,3
5,0,630,390,234,810,3
6,0,624,381,239,818,3
7,0,621,376,240,824,3
8,0,607,368,254,825,3
9,0,612,366,249,829,3
10,0,611,364,251,830,3
11,0,606,360,255,822,3
12,0,614,359,247,831,3
13,0,607,360,256,830,3
14,0,614,360,249,835,2
15,0,602,359,262,834,2
16,0,607,359,256,835,2
17,0,608,359,255,832,2
18,0,605,359,257,836,2
19,0,598,357,265,835,2
20,0,610,357,253,835,2
21,0,605,357,259,831,2
22,0,600,356,263,831,2
23,0,603,357,260,834,2
24,0,597,358,266,835,2
25,0,595,357,265,830,2
26,0,602,355,259,831,2
27,0,594,357,266,832,2
28,0,594,357,266,831,2
29,0,594,356,266,833,2
30,0,582,355,280,824,2
31,0,588,353,273,829,2
32,0,590,352,272,827,2
33,0,594,352,268,831,2
34,0,589,350,273,832,2
35,0,590,351,272,835,2
36,0,593,350,269,835,3
37,0,591,349,271,830,3
38,0,590,348,271,839,2
39,0,591,349,269,841,2
40,0,589,348,272,844,2
