Frame,H-0,H-1,N-0,N-1,N-2,N-3,N-4,O-0,O-1,O-2
1,0,864,0,3,229,508,124,0,781,83
2,1,863,0,40,265,519,40,0,704,160
3,1,863,0,55,268,493,48,0,695,169
4,2,862,0,66,272,488,38,0,686,178
5,0,864,0,70,268,490,36,0,678,186
6,1,863,0,80,265,482,37,0,665,199
7,3,861,0,84,263,481,36,0,658,206
8,3,861,0,93,270,469,32,0,643,221
9,3,861,0,95,262,474,33,0,644,220
10,2,862,0,98,261,471,34,0,641,223
11,3,861,0,106,257,476,25,0,645,219
12,3,861,0,106,245,485,28,0,644,220
13,1,863,0,108,249,477,30,0,636,228
14,1,863,0,108,239,485,32,0,640,224
15,0,864,0,114,241,478,31,0,628,236
16,1,863,0,114,238,478,34,0,633,231
17,1,863,0,112,240,482,30,0,637,227
18,2,862,0,112,244,473,35,1,629,234
19,1,863,0,116,243,475,30,0,624,240
20,1,863,0,121,225,484,34,0,636,228
21,0,864,0,124,225,484,31,0,634,230
22,1,863,0,124,229,483,28,1,628,235
23,1,863,0,120,232,481,31,1,628,235
24,1,863,0,126,225,480,33,2,619,243
25,4,860,0,130,223,481,30,0,629,235
26,3,861,0,129,221,484,30,0,634,230
27,4,860,0,129,221,487,27,0,626,238
28,4,860,2,132,212,489,29,0,627,237
29,4,860,1,134,214,483,32,0,625,239
30,2,862,0,144,217,474,29,0,620,244
31,3,861,0,142,218,471,33,0,622,242
32,2,862,0,142,214,481,27,0,625,239
33,2,862,0,140,214,479,31,0,625,239
34,2,862,0,140,223,469,32,0,619,245
35,2,862,0,142,216,471,35,0,617,247
36,2,862,1,142,211,476,34,0,618,246
37,2,862,0,146,210,479,29,0,621,243
38,3,861,0,140,216,479,29,0,614,250
39,4,860,0,143,206,485,30,0,614,250
40,3,861,0,138,217,479,30,0,608,256
