Frame,C-C,Fe-C,Fe-Fe,H-C,H-Fe,H-H,O-C,O-Fe,O-H,O-O
1,3433,8,0,3585,0,33,816,3227,376,0
2,3392,7,0,3552,0,29,824,3167,418,0
3,3375,5,0,3534,0,26,819,3139,440,0
4,3369,3,0,3527,0,23,818,3113,455,0
5,3364,5,0,3522,0,21,820,3106,461,0
6,3356,8,0,3513,0,20,819,3090,473,0
7,3348,1,0,3506,0,16,818,3072,488,0
8,3348,4,0,3499,0,14,817,3054,497,0
9,3342,3,0,3494,0,14,813,3043,505,0
10,3340,2,0,3487,0,13,813,3034,514,0
11,3345,2,0,3483,0,12,812,3033,519,0
12,3344,3,0,3482,0,12,812,3030,520,0
13,3343,1,0,3479,0,10,812,3024,526,0
14,3343,2,0,3479,0,8,809,3017,528,0
15,3339,2,0,3474,1,9,810,3018,531,0
16,3341,1,0,3473,1,9,811,3014,535,0
17,3347,0,0,3460,0,9,812,2998,545,0
18,3346,2,0,3456,1,9,810,2995,549,0
19,3344,1,0,3460,0,8,810,2989,548,0
20,3345,2,0,3456,0,7,812,2977,555,0
21,3341,0,0,3453,0,7,810,2973,557,0
22,3338,0,0,3450,0,7,811,2978,561,0
23,3337,0,0,3447,0,6,809,2971,567,0
24,3338,1,0,3448,1,5,809,2977,569,0
25,3338,0,0,3446,0,5,810,2959,570,0
26,3339,2,0,3447,1,5,809,2961,568,0
27,3341,1,0,3450,1,4,807,2963,564,0
28,3340,0,0,3440,0,5,807,2959,572,0
29,3341,0,0,3432,0,3,808,2946,584,1
30,3341,0,0,3435,0,3,807,2952,581,0
31,3344,1,0,3434,0,2,807,2947,586,0
32,3344,0,0,3431,0,2,808,2940,590,0
33,3347,1,0,3428,0,2,808,2948,593,0
34,3347,1,0,3421,0,2,806,2937,600,0
35,3347,0,0,3416,0,2,805,2939,603,0
36,3343,0,0,3419,0,2,804,2939,602,0
37,3343,0,0,3409,0,2,806,2934,612,0
38,3341,0,0,3414,0,2,806,2929,607,0
39,3339,1,0,3413,0,2,805,2926,607,0
40,3339,0,0,3412,0,2,806,2928,609,0
41,3339,0,0,3412,1,2,806,2931,608,0
42,3341,1,0,3406,0,2,805,2923,615,0
43,3341,1,0,3400,0,2,804,2927,622,0
44,3340,0,0,3398,1,2,804,2922,623,0
45,3340,0,0,3399,0,2,804,2919,622,0
46,3341,0,0,3402,1,2,804,2922,619,0
47,3344,0,0,3399,0,3,805,2919,622,0
48,3343,0,0,3396,0,4,806,2911,622,0
49,3343,0,0,3395,1,4,807,2919,621,0
50,3345,1,0,3392,0,5,806,2913,625,0
51,3345,0,0,3386,0,5,806,2914,629,0
52,3349,0,0,3387,0,5,806,2914,628,0
53,3350,0,0,3388,0,5,806,2908,630,0
54,3351,0,0,3386,1,5,806,2905,627,0
55,3351,1,0,3384,0,4,803,2902,633,0
56,3354,0,0,3386,0,4,804,2902,632,0
57,3352,1,0,3384,0,4,804,2900,634,0
58,3352,0,0,3384,0,5,804,2908,634,0
59,3354,0,0,3384,1,5,804,2907,633,0
60,3353,0,0,3386,1,5,805,2901,632,1
61,3353,0,0,3384,0,5,805,2898,634,0
62,3353,2,0,3378,1,5,805,2897,642,0
63,3351,1,0,3374,0,5,803,2898,646,0
64,3350,1,0,3372,0,5,803,2889,647,0
65,3350,1,0,3370,0,4,804,2886,650,0
66,3346,2,0,3368,1,4,803,2885,649,0
67,3346,1,0,3369,1,4,804,2885,650,0
68,3350,0,0,3371,0,4,802,2890,649,0
69,3349,1,0,3369,0,4,805,2883,652,0
70,3349,1,0,3374,0,4,803,2887,648,0
71,3351,1,0,3369,1,4,802,2885,650,0
72,3348,1,0,3368,1,4,801,2887,650,0
73,3348,1,0,3368,0,4,802,2884,651,0
74,3342,0,0,3367,0,4,800,2885,652,0
75,3342,1,0,3364,1,4,800,2884,654,0
76,3341,1,0,3363,3,4,801,2880,654,0
77,3337,0,0,3361,2,4,801,2883,655,0
78,3340,1,0,3360,0,4,800,2879,658,0
79,3340,0,0,3353,1,4,801,2875,667,0
80,3339,0,0,3353,0,4,802,2871,665,0
81,3342,1,0,3354,1,4,803,2872,663,0
82,3343,0,0,3351,2,4,802,2870,665,0
83,3344,0,0,3349,0,4,801,2870,669,0
84,3338,0,0,3348,0,4,802,2869,670,0
85,3344,1,0,3349,1,4,804,2867,669,0
86,3348,1,0,3350,1,4,803,2866,668,0
87,3351,1,0,3354,2,4,802,2868,664,0
88,3349,0,0,3350,0,4,803,2863,669,0
89,3348,0,0,3351,3,4,802,2867,665,0
90,3345,1,0,3344,2,4,802,2864,673,0
91,3346,0,0,3337,1,4,802,2863,680,0
92,3347,0,0,3333,1,4,801,2858,684,0
93,3345,0,0,3336,3,4,802,2862,677,0
94,3344,1,0,3338,0,4,801,2860,675,0
95,3345,1,0,3342,1,4,800,2861,674,0
96,3344,0,0,3343,0,4,800,2865,674,0
97,3341,1,0,3343,1,4,800,2862,674,0
98,3343,1,0,3345,1,4,799,2863,672,0
99,3341,0,0,3341,1,4,799,2865,673,0
100,3343,1,0,3339,0,4,799,2859,676,0
101,3342,0,0,3335,2,4,799,2858,677,0
102,3341,0,0,3331,0,6,800,2854,681,0
103,3343,0,0,3330,0,6,800,2852,681,0
104,3344,0,0,3326,1,6,801,2857,683,0
105,3343,0,0,3323,1,6,800,2858,684,0
106,3342,0,0,3325,2,6,799,2858,683,0
107,3343,0,0,3327,0,5,797,2855,689,0
108,3342,1,0,3324,1,5,799,2856,688,0
109,3339,1,0,3324,1,5,799,2852,689,0
110,3340,0,0,3325,1,5,799,2852,688,0
111,3342,0,0,3330,2,5,799,2850,684,0
112,3340,0,0,3329,2,5,800,2850,686,0
113,3339,1,0,3333,2,5,799,2851,682,0
114,3338,0,0,3333,0,5,799,2853,685,0
115,3338,0,0,3332,2,5,799,2853,685,0
116,3338,0,0,3332,2,5,800,2849,683,0
117,3341,0,0,3332,1,5,798,2851,685,0
118,3341,0,0,3325,1,5,799,2850,692,0
119,3340,1,0,3328,1,5,797,2855,688,0
120,3338,1,0,3323,3,5,798,2854,691,0
121,3337,1,0,3326,0,5,798,2849,691,0
122,3335,0,0,3327,1,5,797,2852,690,0
123,3332,0,0,3325,0,5,797,2849,691,0
124,3335,0,0,3324,0,5,797,2850,692,0
125,3334,1,0,3322,0,5,797,2851,694,0
126,3336,0,0,3327,1,5,796,2848,689,0
127,3341,1,0,3326,0,5,795,2849,692,0
128,3343,0,0,3325,0,5,796,2853,693,0
129,3341,0,0,3325,1,5,795,2851,693,0
130,3338,0,0,3326,1,6,794,2850,689,0
131,3339,0,0,3325,3,6,794,2848,688,0
132,3340,0,0,3322,1,6,794,2844,694,0
133,3338,0,0,3322,0,6,794,2846,693,0
134,3337,0,0,3319,1,6,794,2845,692,0
135,3338,0,0,3319,1,6,795,2842,696,0
136,3340,1,0,3319,4,6,792,2846,692,0
137,3341,0,0,3321,1,6,792,2844,694,0
138,3341,0,0,3319,3,6,793,2849,694,0
139,3339,0,0,3318,3,6,794,2845,696,0
140,3336,0,0,3316,1,6,794,2845,701,0
141,3335,1,0,3315,0,6,795,2842,702,0
142,3336,0,0,3315,0,6,795,2841,703,0
143,3338,0,0,3314,1,6,793,2837,703,0
144,3338,0,0,3310,2,6,793,2837,704,0
145,3339,0,0,3311,4,6,794,2842,702,0
146,3340,0,0,3312,1,6,795,2839,702,0
147,3339,0,0,3310,2,6,795,2840,700,1
148,3337,0,0,3308,0,6,795,2838,705,0
149,3339,0,0,3306,0,6,792,2842,706,0
150,3343,0,0,3305,1,6,792,2842,706,0
151,3342,0,0,3307,1,6,793,2837,706,0
152,3342,0,0,3307,4,6,793,2839,702,0
153,3345,0,0,3307,0,6,793,2840,707,0
154,3343,0,0,3309,0,6,794,2832,705,0
155,3344,0,0,3308,5,6,794,2838,702,0
156,3345,0,0,3304,1,6,794,2832,708,0
157,3345,0,0,3307,2,6,795,2836,706,0
158,3345,0,0,3307,2,6,794,2834,706,0
159,3346,0,0,3305,0,6,794,2833,712,0
160,3346,1,0,3305,0,6,794,2832,713,0
161,3346,0,0,3302,0,7,794,2829,714,0
162,3343,0,0,3302,1,7,793,2830,713,0
163,3345,0,0,3303,3,7,793,2833,708,0
164,3345,0,0,3304,0,7,794,2828,711,0
165,3342,1,0,3300,1,7,793,2828,714,0
166,3344,1,0,3300,4,7,792,2836,710,0
167,3344,0,0,3297,0,7,791,2828,719,0
168,3344,0,0,3298,0,7,791,2828,715,0
169,3343,0,0,3297,2,7,791,2832,716,0
170,3344,1,0,3300,1,7,790,2830,714,0
171,3346,0,0,3299,2,7,790,2835,713,0
172,3350,0,0,3296,1,7,790,2830,715,0
173,3350,0,0,3295,0,7,792,2829,716,0
174,3353,0,0,3296,0,7,791,2829,717,0
175,3350,0,0,3298,0,7,791,2825,718,0
176,3348,0,0,3295,0,8,792,2827,717,0
177,3346,0,0,3291,1,7,791,2826,722,0
178,3344,0,0,3293,0,7,795,2822,722,0
179,3345,0,0,3294,2,7,793,2826,716,0
180,3345,0,0,3289,2,7,793,2824,722,0
181,3347,0,0,3289,2,7,793,2821,724,0
182,3347,0,0,3283,2,7,792,2821,727,0
183,3346,0,0,3286,2,7,795,2824,721,0
184,3344,0,0,3291,2,7,795,2824,717,0
185,3342,0,0,3289,0,7,797,2814,723,0
186,3342,0,0,3288,0,7,794,2812,725,0
187,3343,0,0,3291,4,7,793,2820,720,0
188,3344,0,0,3287,2,8,793,2815,722,0
189,3341,0,0,3286,2,7,793,2815,725,0
190,3342,0,0,3282,1,7,792,2813,730,0
191,3344,0,0,3283,0,7,791,2812,729,0
192,3342,0,0,3278,0,7,794,2815,735,0
193,3343,0,0,3279,1,7,791,2807,735,0
194,3343,0,0,3281,0,7,793,2812,732,0
195,3343,0,0,3283,1,7,792,2812,728,0
196,3343,0,0,3281,0,7,791,2811,731,0
197,3339,0,0,3280,0,7,790,2810,732,0
198,3338,0,0,3281,1,7,791,2810,730,0
199,3338,0,0,3277,1,7,790,2809,736,0
200,3339,0,0,3277,3,6,790,2806,737,0
201,3339,0,0,3277,1,6,791,2809,738,0
202,3339,0,0,3277,3,6,789,2814,735,0
203,3341,0,0,3277,4,6,790,2808,735,0
204,3344,0,0,3277,2,6,789,2807,738,0
205,3344,0,0,3274,3,6,787,2810,740,0
206,3344,0,0,3274,2,6,788,2812,739,0
207,3342,0,0,3274,1,6,789,2810,741,0
208,3345,0,0,3268,2,6,787,2806,744,0
209,3342,0,0,3270,4,6,789,2809,741,0
210,3342,0,0,3274,1,6,787,2807,742,0
211,3339,0,0,3269,4,6,788,2808,744,0
212,3342,0,0,3271,2,6,788,2808,744,0
213,3343,0,0,3272,1,6,786,2808,742,0
214,3341,0,0,3270,3,6,786,2812,743,0
215,3341,0,0,3269,3,6,786,2809,744,0
216,3344,0,0,3272,1,6,786,2806,743,0
217,3343,0,0,3275,1,5,785,2804,742,0
218,3342,0,0,3276,3,5,787,2810,738,0
219,3343,0,0,3275,3,5,786,2806,739,0
220,3344,0,0,3275,3,5,786,2807,739,0
221,3345,0,0,3270,3,5,786,2805,744,0
222,3346,0,0,3269,1,5,786,2802,748,0
223,3347,0,0,3268,0,5,786,2800,749,0
224,3347,1,0,3267,0,5,787,2798,751,0
225,3348,0,0,3264,2,5,787,2801,750,0
226,3347,1,0,3265,3,5,785,2802,748,0
227,3347,1,0,3265,3,5,785,2804,747,0
228,3347,1,0,3261,2,5,784,2797,757,0
229,3347,0,0,3262,0,5,785,2795,754,0
230,3346,0,0,3262,0,5,787,2795,754,0
231,3348,0,0,3259,3,5,786,2799,755,0
232,3349,0,0,3257,1,5,787,2797,758,0
233,3349,0,0,3256,1,5,785,2795,760,0
234,3353,0,0,3257,2,5,785,2798,759,0
235,3353,0,0,3251,2,5,786,2794,763,0
236,3351,0,0,3250,1,6,785,2791,762,0
237,3352,0,0,3251,2,6,787,2795,761,0
238,3353,0,0,3248,1,6,785,2793,766,0
239,3351,0,0,3248,0,6,785,2790,767,0
240,3349,0,0,3249,2,6,784,2796,763,0
241,3349,0,0,3248,4,6,784,2798,761,0
242,3348,0,0,3249,4,6,784,2797,760,0
243,3349,0,0,3252,0,6,784,2793,761,0
244,3352,0,0,3252,0,6,783,2793,762,0
245,3354,0,0,3251,2,6,783,2795,761,0
246,3355,0,0,3253,1,6,783,2793,761,0
247,3357,0,0,3250,1,6,783,2794,764,0
248,3358,0,0,3251,2,6,783,2795,763,0
249,3356,1,0,3251,1,6,783,2789,763,0
250,3356,0,0,3251,2,6,784,2790,762,0
251,3355,0,0,3248,0,7,783,2788,764,0
252,3356,0,0,3247,1,7,783,2788,762,0
253,3355,0,0,3248,1,7,784,2787,761,0
254,3356,0,0,3253,2,7,783,2791,758,0
255,3355,0,0,3253,2,6,783,2784,758,0
256,3355,0,0,3251,4,6,784,2786,759,0
257,3355,0,0,3248,4,7,783,2788,760,0
258,3356,0,0,3247,1,6,783,2784,764,0
259,3355,0,0,3247,3,6,783,2784,765,0
260,3354,0,0,3247,3,6,783,2789,763,0
261,3355,0,0,3246,2,6,783,2783,766,0
262,3354,0,0,3248,0,6,783,2781,767,0
263,3353,0,0,3247,1,6,783,2783,765,0
264,3351,0,0,3247,1,6,784,2786,766,0
265,3355,0,0,3246,0,6,782,2782,768,0
266,3356,0,0,3243,0,6,782,2785,770,0
267,3357,0,0,3243,0,6,782,2785,769,0
268,3357,0,0,3246,3,6,782,2787,765,0
269,3357,0,0,3246,3,6,782,2787,765,0
270,3359,0,0,3248,1,6,782,2782,765,0
271,3358,0,0,3249,0,6,781,2784,766,0
272,3357,0,0,3248,1,5,782,2778,769,0
273,3356,0,0,3245,1,5,781,2778,770,0
274,3355,0,0,3246,1,5,781,2779,770,0
275,3358,1,0,3244,3,5,781,2779,770,0
276,3359,0,0,3242,0,5,781,2777,775,0
277,3361,0,0,3241,3,5,782,2779,772,0
278,3362,0,0,3240,1,5,781,2778,777,0
279,3361,0,0,3241,5,5,782,2781,770,0
280,3362,0,0,3243,4,5,781,2783,770,0
281,3361,0,0,3243,3,5,782,2776,773,0
282,3359,0,0,3244,2,5,781,2778,773,0
283,3359,0,0,3244,4,5,781,2781,768,0
284,3361,0,0,3240,3,5,782,2781,773,0
285,3362,0,0,3240,3,5,782,2778,773,0
286,3359,0,0,3243,1,5,783,2777,772,0
287,3357,0,0,3244,3,5,782,2777,771,0
288,3361,1,0,3242,0,5,782,2774,776,0
289,3363,0,0,3240,0,5,783,2778,774,0
290,3361,0,0,3238,2,5,782,2778,777,0
291,3362,0,0,3237,6,5,781,2787,773,0
292,3361,0,0,3236,2,5,781,2778,779,0
293,3365,0,0,3232,0,5,781,2779,783,0
294,3363,0,0,3233,0,5,782,2775,782,0
295,3363,0,0,3234,3,5,781,2778,777,0
296,3365,0,0,3233,2,4,782,2779,782,0
297,3367,0,0,3235,2,5,781,2776,779,0
298,3365,0,0,3236,4,5,781,2776,778,0
299,3362,1,0,3235,2,5,783,2775,781,0
300,3361,0,0,3235,2,5,781,2773,778,0
301,3361,0,0,3237,1,5,782,2771,779,0
302,3359,0,0,3234,3,5,781,2770,780,0
303,3361,0,0,3233,1,5,783,2769,783,0
304,3363,0,0,3231,3,6,781,2769,780,0
305,3365,0,0,3232,2,6,781,2771,780,0
306,3367,0,0,3230,0,6,781,2771,784,0
307,3368,0,0,3233,0,6,781,2769,781,0
308,3365,0,0,3232,2,6,781,2772,780,0
309,3365,0,0,3235,2,6,781,2773,778,0
310,3364,0,0,3233,4,6,782,2773,778,0
311,3366,0,0,3230,3,6,782,2768,783,0
312,3364,0,0,3226,3,6,782,2771,785,0
313,3362,0,0,3226,5,6,781,2777,783,0
314,3362,0,0,3228,4,6,781,2772,783,0
315,3363,0,0,3226,2,7,781,2770,785,0
316,3366,0,0,3225,4,7,781,2776,783,0
317,3367,0,0,3227,4,7,781,2773,784,0
318,3370,0,0,3225,3,7,781,2770,788,0
319,3368,0,0,3223,3,7,781,2771,789,0
320,3367,0,0,3222,3,7,781,2771,788,0
321,3367,0,0,3222,3,7,780,2773,789,0
322,3368,0,0,3219,1,6,779,2767,795,0
323,3365,0,0,3221,1,6,779,2769,791,0
324,3365,0,0,3218,3,6,779,2771,791,0
325,3366,0,0,3219,4,6,779,2775,787,0
326,3365,0,0,3218,2,6,780,2772,793,0
327,3367,0,0,3218,5,6,779,2770,791,0
328,3367,0,0,3217,2,6,778,2769,797,0
329,3367,0,0,3215,3,6,778,2769,798,0
330,3368,0,0,3215,1,6,778,2767,799,0
331,3367,0,0,3216,1,6,778,2770,796,0
332,3368,0,0,3215,3,6,778,2769,795,0
333,3368,0,0,3213,5,6,779,2768,796,0
334,3371,0,0,3214,2,6,779,2769,794,0
335,3368,0,0,3213,4,6,778,2770,794,0
336,3369,0,0,3217,2,6,777,2770,794,0
337,3370,0,0,3217,2,6,778,2768,795,0
338,3368,0,0,3215,3,6,778,2768,797,0
339,3369,0,0,3211,4,6,778,2769,800,0
340,3370,0,0,3211,1,6,777,2766,802,0
341,3372,0,0,3214,3,6,779,2767,799,0
342,3369,0,0,3214,6,6,777,2772,794,0
343,3372,0,0,3213,1,6,777,2762,802,0
344,3373,0,0,3212,1,6,777,2763,802,0
345,3372,0,0,3209,2,6,777,2764,802,0
346,3369,0,0,3211,2,6,777,2763,802,0
347,3367,0,0,3207,5,6,778,2767,800,0
348,3367,0,0,3211,0,6,777,2763,803,0
349,3366,0,0,3211,1,6,777,2760,804,0
350,3369,0,0,3209,5,6,778,2766,802,0
351,3371,0,0,3213,1,6,778,2762,802,0
352,3370,0,0,3214,2,6,778,2765,800,0
353,3371,0,0,3214,3,6,777,2764,798,0
354,3372,0,0,3207,5,6,778,2765,802,0
355,3373,0,0,3207,2,6,777,2763,805,0
356,3373,0,0,3209,0,6,777,2757,806,0
357,3372,0,0,3211,2,6,777,2761,802,0
358,3372,0,0,3213,2,6,777,2760,801,0
359,3373,0,0,3213,0,6,777,2756,803,0
360,3372,0,0,3211,2,6,777,2761,802,0
361,3371,0,0,3212,3,6,777,2761,799,0
362,3373,0,0,3210,1,6,776,2760,800,0
363,3374,0,0,3211,4,6,778,2759,800,0
364,3373,0,0,3212,6,6,777,2763,797,0
365,3373,0,0,3211,3,7,777,2759,799,0
366,3375,0,0,3210,0,7,778,2759,802,0
367,3375,1,0,3209,0,7,777,2758,802,0
368,3378,0,0,3211,1,7,777,2758,802,0
369,3377,0,0,3210,5,7,777,2761,797,0
370,3377,0,0,3205,1,7,777,2759,807,0
371,3376,0,0,3209,1,7,776,2761,803,0
372,3379,0,0,3206,4,7,776,2762,801,0
373,3377,0,0,3206,0,7,776,2760,803,0
374,3378,0,0,3205,1,7,776,2762,801,0
375,3376,0,0,3205,4,7,776,2762,799,0
376,3376,0,0,3205,0,7,777,2759,806,0
377,3377,0,0,3204,0,7,776,2758,805,0
378,3376,0,0,3207,2,7,776,2763,800,0
379,3376,0,0,3208,3,7,776,2763,797,0
380,3377,0,0,3203,4,8,776,2764,799,0
381,3374,0,0,3202,3,8,776,2763,802,0
382,3376,0,0,3200,2,8,776,2759,806,0
383,3376,0,0,3199,3,8,776,2759,806,0
384,3371,0,0,3197,0,8,776,2755,809,0
385,3368,0,0,3196,1,8,777,2756,811,0
386,3369,0,0,3200,3,8,776,2761,805,0
387,3370,0,0,3201,2,8,776,2759,804,0
388,3371,0,0,3200,5,8,776,2763,803,0
389,3370,0,0,3202,2,8,776,2761,802,0
390,3369,0,0,3204,3,8,778,2764,797,0
391,3368,0,0,3198,0,9,776,2762,804,0
392,3369,0,0,3196,2,9,776,2763,802,0
393,3370,0,0,3197,1,9,776,2766,802,0
394,3372,0,0,3199,3,9,776,2762,800,0
395,3371,0,0,3197,4,9,776,2763,801,0
396,3374,0,0,3192,1,9,778,2756,810,0
397,3374,0,0,3194,4,9,777,2759,805,0
398,3377,0,0,3196,4,9,776,2757,803,0
399,3377,0,0,3197,3,9,776,2754,805,0
400,3378,0,0,3195,3,9,776,2754,809,0
